Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT
60,Utah St. 10,MWC,26-8,14.07,120,105.9,67.5
61,Pittsburgh,ACC,17-15,13.5,115.8,102.3,66.4
62,USC,B10,16-17,13.48,117.2,103.7,68.4
63,Iowa,B10,17-16,13.27,120,106.7,69.7
64,Liberty 12,CUSA,28-7,12.45,111.9,99.5,65.5
65,Kansas St.,B12,16-17,12.19,109.5,97.3,67.1
66,San Francisco,WCC,25-10,12.17,111.9,99.8,68
67,UC Irvine,BW,31-6,11.88,107.1,95.2,68.9
68,UCF,B12,17-16,11.56,115.5,103.9,72
69,North Texas,Amer,27-8,11.5,109.7,98.2,60.7
70,South Carolina,SEC,12-20,11.47,110.6,99.1,65.4
71,Rutgers,B10,15-17,11.23,115.6,104.3,68.8
72,Wake Forest,ACC,21-11,11.18,108.3,97.1,67.2
73,Arizona St.,B12,13-20,11.02,112.5,101.5,68.8
74,Yale 13,Ivy,22-8,11.02,115.2,104.2,67.6
75,Butler,BE,15-19,10.77,116.5,105.8,67.8
76,Utah,B12,16-17,10.5,112.6,102.1,69.1
77,Dayton,A10,23-11,10.02,115.8,105.8,66.1
78,Nevada,MWC,17-16,9.83,112.9,103.1,63.9
79,Colorado,B12,14-20,9.57,109,99.4,67.8
80,George Mason,A10,27-9,9.54,106.3,96.8,64.8
81,Stanford,ACC,21-14,9.28,112.6,103.3,66.2
82,Oregon St.,WCC,20-12,9.26,116.4,107.2,63.8
83,Arkansas St.,SB,25-11,9.17,111.5,102.3,70.1
84,High Point 13,BSth,29-6,9.15,118.5,109.3,66.4
85,Saint Joseph's,A10,22-13,9.14,109.8,100.7,68.1
86,Georgetown,BE,18-15,8.92,108.8,99.8,68.5
87,Minnesota,B10,15-17,8.91,110.6,101.6,62.8
88,TCU,B12,16-16,8.89,106,97.1,66.6
89,LSU,SEC,14-18,8.68,109.2,100.5,68.1
90,Lipscomb 14,ASun,25-10,8.51,112.1,103.6,66.1
91,Florida St.,ACC,17-15,8.24,108.8,100.6,69.6
92,Bradley,MVC,28-9,7.88,111.5,103.7,65.8
93,UNLV,MWC,18-15,7.28,107.6,100.3,65.9
94,Providence,BE,12-20,7.04,112.3,105.3,66.4
95,Troy 14,SB,23-11,6.96,107.5,100.5,66.4
96,Oklahoma St.,B12,17-18,6.93,108.1,101.2,71.9
97,Notre Dame,ACC,15-18,6.93,111.4,104.5,64.8
98,UAB,Amer,24-13,6.85,116.4,109.6,69.4
99,Chattanooga,SC,27-9,6.51,116.1,109.6,66.5
100,Akron 13,MAC,28-7,6.48,113.6,107.1,71.6
101,Grand Canyon 13,WAC,26-8,6.28,107.4,101.1,71.3
102,Northern Iowa,MVC,20-13,6.11,109.7,103.6,65.3
103,Georgia Tech,ACC,17-17,5.88,107.3,101.4,68.8
104,Washington,B10,13-18,5.52,109.5,104,67.8
105,UNC Wilmington 14,CAA,27-8,5.3,112.3,107,65.8
106,Loyola Chicago,A10,25-11,5.28,108,102.7,67.1
107,Virginia,ACC,15-17,5.03,110.6,105.6,61.3
108,Jacksonville St.,CUSA,23-13,4.93,109.9,105,65
109,South Alabama,SB,21-11,4.51,107.8,103.2,63.2
110,DePaul,BE,14-19,4.48,109.9,105.4,67
111,California,ACC,14-19,4.43,111.4,106.9,67.6
112,Kent St.,MAC,24-12,4.33,106.3,102,66.6
113,Florida Atlantic,Amer,18-16,4.26,112.8,108.5,68.9
114,Utah Valley,WAC,25-9,4.25,106.7,102.5,68.3
115,Syracuse,ACC,14-19,4.25,110.4,106.2,68.3
116,North Alabama,ASun,24-11,4.23,111.2,107,66.8
117,Wofford 15,SC,19-16,4.14,114,109.8,64.2
118,CSUN,BW,22-11,4.08,109,104.9,72.4
119,Middle Tennessee,CUSA,22-12,3.97,109.3,105.3,68.4
120,Saint Louis,A10,19-15,3.93,109.3,105.4,67.7
121,Samford,SC,22-11,3.93,112.8,108.9,71
122,St. Bonaventure,A10,22-12,3.89,105.4,101.5,64.7
123,Washington St.,WCC,19-15,3.87,112,108.1,70.7
124,Belmont,MVC,22-11,3.7,112.7,109,70.6
125,Northern Colorado,BSky,25-10,3.66,112.3,108.6,68.8
126,N.C. State,ACC,12-19,3.65,107.7,104,65.4
127,Louisiana Tech,CUSA,20-12,3.53,109,105.5,64.6
128,George Washington,A10,21-13,3.47,107.2,103.8,67.3
129,Cornell,Ivy,18-11,3.37,115.1,111.7,71
130,St. Thomas,Sum,24-10,3.29,113.7,110.4,68
131,Kennesaw St.,CUSA,19-14,3.02,107.2,104.2,70.4
132,Illinois St.,MVC,22-14,2.94,112.8,109.9,66.1
133,Robert Morris 15,Horz,26-9,2.9,107.6,104.7,68
134,New Mexico St.,CUSA,17-15,2.83,104.4,101.6,65
135,Wichita St.,Amer,19-15,2.63,107.3,104.7,68.8
136,North Dakota St.,Sum,21-11,2.63,115.5,112.8,65
137,South Dakota St.,Sum,20-12,2.56,109.8,107.3,69.1
138,Tulane,Amer,19-14,2.29,109,106.8,66.8
139,Murray St.,MVC,16-17,2.25,106.8,104.6,64.9
140,Duquesne,A10,13-19,2.24,106,103.8,65.3
141,Furman,SC,25-10,2.17,110.4,108.2,66
142,Milwaukee,Horz,21-11,2.1,107.6,105.5,68.8
143,East Tennessee St.,SC,19-13,1.79,106.8,105,65.2
144,UNC Greensboro,SC,20-12,1.72,107.3,105.6,63.9
145,Seattle,WAC,14-18,1.36,104.1,102.7,66.1
146,Davidson,A10,17-16,1.14,109.7,108.5,66
147,UC Santa Barbara,BW,21-13,1.09,108.7,107.6,65.6
148,Miami OH,MAC,25-9,1.09,108.2,107.1,69.1
149,Bryant 15,AE,23-12,0.91,106.8,105.9,72.6
150,Texas A&M Corpus Chris,Slnd,20-14,0.81,106.5,105.7,67.5
151,Radford,BSth,20-13,0.62,110.6,109.9,62.9
152,Towson,CAA,22-11,0.59,107,106.4,63.7
153,Charleston,CAA,24-9,0.51,106.2,105.7,70.1
154,Cleveland St.,Horz,23-13,0.44,105,104.6,65.5
155,Rhode Island,A10,18-13,0.41,108.1,107.7,70.5
156,Loyola Marymount,WCC,17-15,0.4,104.3,103.9,67.3
157,Purdue Fort Wayne,Horz,19-13,0.34,109.4,109.1,69.9
158,Lamar,Slnd,20-13,0.32,102.5,102.1,65.5
159,UC Riverside,BW,21-13,0.29,109.9,109.6,67.2
160,James Madison,SB,20-12,0.26,110.7,110.5,65
161,Western Kentucky,CUSA,17-15,0.21,103.6,103.3,71.8
162,UTEP,CUSA,18-15,0.18,105.4,105.2,68.9
163,Montana 14,BSky,25-10,0.06,110.7,110.6,67.2
164,Virginia Tech,ACC,13-19,-0.01,106.6,106.6,65.2
165,Nebraska Omaha 15,Sum,22-13,-0.06,111.1,111.1,67.6
